,FileHeader,Identifier,Date,Time_min,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Amount,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Correction_of_d34S_by_true_value
13,30877__Control 0619_0min_13.dxf,Control,20190619.0,0.0,2,55.122,50.253,2.479,1187,5846,14.036,Sample,,53.72366666666667,14.357509690535725,14.501741777414889,14.938299878745164
16,30878__Control 0619_30min_14.dxf,Control,20190619.0,30.0,2,57.696999999999996,55.032,2.665,1245,6025,14.105,Sample,,56.29866666666666,14.413518220285464,14.552416520745696,14.99191618202985
19,30879__Control 0619_60min_15.dxf,Control,20190619.0,60.0,2,60.46,57.659,2.8,1327,6437,13.952,Sample,,59.06166666666667,14.24246284015765,14.373820270163531,14.802952802892227
22,30880__Control 0619_120min_16.dxf,Control,20190619.0,120.0,2,62.595,59.696000000000005,2.8989999999999996,1373,6662,13.92,Sample,,61.196666666666665,14.199598117181402,14.32672530278606,14.753124073862281
25,30881__Control 0619_180min_17.dxf,Control,20190619.0,180.0,2,62.787,59.878,2.909,1436,6970,14.110999999999999,Sample,,61.388666666666666,14.394074309771256,14.515407899782938,14.952759290149139
28,30882__Control 0619_240min_18.dxf,Control,20190619.0,240.0,2,47.254,45.065,2.19,1043,5065,14.224,Sample,,45.855666666666664,14.606407832789357,14.76388242388104,15.215657226416782
46,0619_0min_8.dxf,Alma1,20190716.0,0.0,2,51.086000000000006,48.721000000000004,2.365,1150,5577,13.433,Sample,,49.68766666666667,13.763655181589886,13.911289856356989,14.313573492509684
49,30904__Alma 1 0716_0min_40.dxf,Alma1,20190716.0,3.0,2,58.716,55.994,2.722,1299,6309,13.179,Sample,,57.31766666666667,13.459442465867612,13.59337482724815,13.97720417913821
52,30905__Alma 1 0716_15min_41.dxf,Alma1,20190716.0,18.0,2,83.594,79.721,3.8739999999999997,1538,7471,13.052999999999999,Sample,,82.19566666666665,13.24641795525852,13.358371438119669,13.728559348276647
55,30906__Alma 1 0716_30min_42.dxf,Alma1,20190716.0,33.0,2,77.33,73.744,3.5860000000000003,1620,7874,13.814,Sample,,75.93166666666667,14.037388346246988,14.141800958653784,14.557465268942591
58,30907__Alma 1 0716_45min_43.dxf,Alma1,20190716.0,48.0,2,70.717,67.437,3.28,1528,7424,13.885,Sample,,69.31866666666667,14.131131841992215,14.244004943201453,14.665601975164048
61,30908__Alma 1 0716_60min_44.dxf,Alma1,20190716.0,63.0,2,71.568,68.248,3.32,1530,7438,14.062999999999999,Sample,,70.16966666666667,14.309693981413302,14.422383158952924,14.854334663017596
64,30909__Alma 1 0716_75min_45.dxf,Alma1,20190716.0,78.0,2,84.036,80.14,3.8960000000000004,1800,8746,13.619000000000002,Sample,,82.63766666666666,13.82096086261444,13.908820344755586,14.310960631066628
