,Name,d34S,Replicate,Time_min,ID,f_R,Real_conc,minus_ln_f_R,d34S_approx,r34_approx,f34_approx,conc_s_cell_lysate,F34_approx_DMSP,R34_approx_DMSP,d34S_approx_DMSP
0,DddD,12.41,b,0,DddD_0_b,1.0,95.3,0.0,12.333627158816887,0.045559568723468974,0.04357434056013946,37.50847627254361,0.04364475914210177,0.04563655562022147,14.044276021763613
1,DddD,11.498627344600475,b,4,DddD_4_b,0.7214165322140609,68.75099552,0.32653859392740503,11.43302057541013,0.045519037374486045,0.043537263069636435,37.50847627254361,0.04361464625002518,0.045603632551473844,13.312725426875893
2,DddD,13.121328056185394,b,11,DddD_11_b,0.4972277133263379,47.38580108,0.6987071821090304,13.035989127328454,0.04559117817268085,0.043603254431008036,37.50847627254361,0.04376776375495655,0.045771060727700305,17.032979539830517
3,DddD,12.707019617480132,b,18,DddD_18_b,0.3037062329485834,28.943203999999998,1.1916943837673661,12.626962918412602,0.0455727701526617,0.04358641641557644,37.50847627254361,0.043833930056365364,0.04584342765786423,18.640972744152773
4,DddD,12.973279323146407,b,25,DddD_25_b,0.2413140615949633,22.99723007,1.4216560337226212,12.889847152750116,0.045584601126185946,0.0435972384033653,37.50847627254361,0.04392639778679087,0.045944577577611084,20.888523983403573
5,DddD,12.68995287991673,b,35,DddD_35_b,0.16728945162644282,15.94268474,1.7880297236260119,12.610110185051626,0.045572011703823155,0.043585722641485775,37.50847627254361,0.04403343991781187,0.04606169478776134,23.49086841896564
6,DddD,12.673139902419866,b,43,DddD_43_b,0.13239213546694648,12.616970509999998,2.0219870370399438,12.593507752078303,0.04557126451962841,0.04358503917049157,37.50847627254361,0.04414873862813177,0.046187875051572444,26.294593908885666
7,DddD,12.308150574615677,b,51,DddD_51_b,0.1662319571878279,15.84190552,1.7943711335293004,12.233021130820957,0.04555504099948204,0.043570198806496506,37.50847627254361,0.04398400887400943,0.04600760790853017,22.2890579504309
8,DddD,12.11,a,0,DddD_0_a,1.0,96.4,0.0,12.037260610503415,0.04554623089514541,0.04356213962547688,37.94141776152365,0.04362775612487576,0.04561796560312173,14.431205837676853
9,DddD,11.67569572649889,a,3,DddD_3_a,0.7264018502074688,70.02513836,0.31965190460651755,11.608060739108707,0.04552691496953322,0.04354446960445765,37.94141776152365,0.04362522638730947,0.04561519980552799,14.369749814529298
10,DddD,12.109274360477086,a,9,DddD_9_a,0.5827514077800829,56.17723571,0.5399945853161504,12.036543653074833,0.045546198628834814,0.04356211010911394,37.94141776152365,0.04367468792768164,0.04566927945579559,15.571399655491902
11,DddD,12.920981635191689,a,20,DddD_20_a,0.28313762780082985,27.29446732,1.2618221822354212,12.838217915257955,0.04558227757816723,0.043595113034764994,37.94141776152365,0.04387269633947096,0.045885831490748714,20.3831859202682
12,DddD,12.928402265693224,a,26,DddD_26_a,0.24517286804979252,23.63466448,1.4057917333679801,12.845543860178278,0.045582607278655395,0.04359541461510492,37.94141776152365,0.04391646553719274,0.04593371180884106,21.44708659891923
13,DddD,12.531035013168928,a,37,DddD_37_a,0.1783010424273859,17.188220490000003,1.7242819076501223,12.453171393656495,0.045564948751985815,0.04357926191612807,37.94141776152365,0.04398506742279711,0.04600876610182561,23.11479300571282
14,DddD,12.596502868812651,a,45,DddD_45_a,0.16303628392116182,15.71669777,1.81378250220392,12.517826932077586,0.04556785854216469,0.04358192361201688,37.94141776152365,0.044032149425601075,0.046060282674928975,24.259491271516698
15,DddD,12.543781067687473,a,53,DddD_53_a,0.12131261047717841,11.694535649999999,2.10938450737076,12.46575962438996,0.04556551527901586,0.04357978014113866,37.94141776152365,0.04417790023120866,0.046219793664422575,27.803825493507883
16,DddD,13.33,c,0,DddD_0_c,1.0,100.1,0.0,13.24193727092616,0.0456004467659094,0.04361173228928286,39.39767549718379,0.04369686762660052,0.045693531838750245,14.4102876101332
17,DddD,13.044564604442234,c,4,DddD_4_c,0.719332800899101,72.00521337,0.32943116200977945,12.960216998246496,0.04558776808589759,0.043600135232408764,39.39767549718379,0.04371214309690333,0.045710235449881696,14.781441853185651
18,DddD,13.52300339350806,c,11,DddD_11_c,0.5221702666333666,52.269243689999996,0.6497615629950758,13.432383636566135,0.04560901770937185,0.04361957188288991,39.39767549718379,0.04378852227143642,0.04579376350454822,16.637435246435697
19,DddD,13.045156021534972,c,18,DddD_18_c,0.32300608221778226,32.33290883,1.1300841255411596,12.96080079973054,0.04558779435959148,0.043600159264974396,39.39767549718379,0.043849629458073365,0.0458605997644704,18.1225369567576
20,DddD,13.17935598302669,c,25,DddD_25_c,0.2209219274725275,22.11428494,1.509945909233782,13.09326387170782,0.04559375579391428,0.043605612161766553,39.39767549718379,0.04398007276449806,0.04600330130322084,21.293365179500768
21,DddD,12.910592417887162,c,35,DddD_35_c,0.16987985004995004,17.00497299,1.7726638562196433,12.827961171866642,0.04558181597855928,0.043594690804659116,39.39767549718379,0.04405635883488283,0.04608677430103132,23.148135209397303
22,DddD,12.792755570120278,c,43,DddD_43_c,0.15586829940059937,15.602416769999998,1.8587438629108803,12.711619509088884,0.04557658008019679,0.04358990144624416,39.39767549718379,0.044080976829537405,0.04611371440578261,23.746744342956994
23,DddD,12.7770636370809,c,51,DddD_51_c,0.13284932337662342,13.298217270000002,2.018539699927234,12.696125663464878,0.045575882787421404,0.043589263617978415,39.39767549718379,0.04416353862714225,0.04620407403554226,25.75453533629436
