,Name,d34S,Replicate,Time_min,ID,f_R,Real_conc,minus_ln_f_R,d34S_approx,r34_approx,f34_approx,F34_approx_DMSP,R34_approx_DMSP,d34S_approx_DMSP
18,DddQ,11.5,a,0,DddQ_0_a,1.0,142.4571429,0.0,11.434377625663169,0.04551909844785416,0.04353731894083085,0.04365450440246998,0.04564721076580635,14.281033359027306
19,DddQ,11.516080620540054,a,4,DddQ_4_a,0.6646610507727655,94.68571429,0.4084780663525747,11.450275295181886,0.04551981391452202,0.04353797346421553,0.043715095331574194,0.04571346375767753,15.753174853126328
20,DddQ,11.595688644409542,a,11,DddQ_11_a,0.619334135403329,88.22857143,0.4791103532234871,11.528973887241804,0.045523355705308376,0.043541213552898965,0.04373561889887079,0.04573590710187244,16.251865966124157
21,DddQ,11.805231424593073,a,20,DddQ_20_a,0.5290814278291973,75.37142857,0.6366129311260394,11.73609327604344,0.045532677009841704,0.04354974073126277,0.04379061882235354,0.045796056475018034,17.588385050784527
22,DddQ,12.01700196592078,a,27,DddQ_27_a,0.4977938225237283,70.91428571,0.6975692986802282,11.945371085731031,0.04554209545302779,0.0435583566181471,0.04382866861604627,0.045837672786747385,18.513099506657802
23,DddQ,11.790064769486214,a,35,DddQ_35_a,0.5254713195571185,74.85714286,0.6434596675910352,11.721103465446694,0.0455320024009107,0.04354912360057191,0.04379068666205076,0.04579613067058048,17.59003367619849
24,DddQ,11.5,b,0,DddQ_0_b,1.0,133.4285714,0.0,11.434377625663169,0.04551909844785416,0.04353731894083085,0.043662433868461165,0.04565588074206806,14.47368023348905
25,DddQ,11.375377315698602,b,4,DddQ_4_b,0.7349036404357395,98.05714286,0.3080158898118198,11.31116421780163,0.04551355329004006,0.04353224608788401,0.043696406352124406,0.04569302744690305,15.299080023176481
26,DddQ,11.784869659568573,b,11,DddQ_11_b,0.6796573877579566,90.68571429,0.3861664493151969,11.715968879295017,0.04553177132142823,0.043548912209412316,0.04374803784502096,0.04574948818555287,16.553637648521136
27,DddQ,11.713307531243734,b,20,DddQ_20_b,0.5584582441988133,74.51428571,0.5825754274597821,11.645237776928408,0.04552858810353178,0.043546000197005975,0.0437837432415189,0.04578853677926718,17.4212974095298
28,DddQ,11.497143917007653,b,27,DddQ_27_b,0.5361884369242372,71.54285714,0.6232696182687574,11.431554010216235,0.04551897137245278,0.04353720268958872,0.04377035285717838,0.04577389227364217,17.095896491287952
29,DddQ,11.796274834132712,b,35,DddQ_35_b,0.5379014990338118,71.77142857,0.6200798228806256,11.727241147368142,0.04553227862421673,0.04354937628911011,0.04380173923759331,0.04580821889664265,17.858634061985956
30,DddQ,11.42,c,0,DddQ_0_c,1.0,137.4857143,0.0,11.355284038134462,0.04551553888049423,0.04353406256326985,0.04365269884726471,0.045645236615032884,14.237167728402333
31,DddQ,11.507013639342887,c,4,DddQ_4_c,0.6907730672495039,94.97142857,0.3699439212381799,11.441311501122422,0.04551941050345227,0.043537604415716365,0.04371373625176346,0.04571197758339031,15.720152060134218
32,DddQ,11.600041225370774,c,11,DddQ_11_c,0.6492103075177462,89.25714286,0.4319985662068896,11.533276566312303,0.045523549345228606,0.04354139069726192,0.043733789270445134,0.045733906290675835,16.20740794089115
33,DddQ,11.328519881088926,c,20,DddQ_20_c,0.5320033249447211,73.14285714,0.6311055397639308,11.26483273578583,0.045511468164857675,0.043530338547832524,0.04374734763948175,0.04574873338284713,16.536865932231805
34,DddQ,11.71068324547768,c,27,DddQ_27_c,0.5282626765972295,72.62857143,0.6381616254294077,11.642643870976919,0.04552847136609138,0.043545893405087015,0.043789636174079806,0.04579498176412967,17.564504974606265
35,DddQ,11.8200906949177,c,35,DddQ_35_c,0.521612634993598,71.71428571,0.6508300451324078,11.750779068084562,0.04553333793656962,0.04355034534473355,0.04380449914746799,0.0458112374597166,17.925706534159815
